	productid	brand	RAM_GB	HDD_GB	GHz	price	MEDIAN
0	394	Samsung	16	1000	3.2	90900	2.5
1	828	Lenovo	8	2000	2.5	51900	2.5
2	995	Acer	4	1000	2.3	44900	2.5
3	1009	HP	4	500	2.3	42900	2.5
4	1093	Acer	8	2000	2.3	58900	2.5
5	1230	MSI	16	500	3.0	63900	2.5
6	1247	Acer	8	500	2.5	57900	2.5
7	1894	HP	4	2000	1.8	42900	2.5
8	1999	DELL	8	500	2.3	71900	2.5
9	2370	Toshiba	16	2000	2.5	68900	2.5
10	2616	asus	16	500	1.8	40900	2.5
11	2642	Lenovo	16	500	3.2	62900	2.5
12	2742	Samsung	4	2000	3.0	67900	2.5
13	2829	Dell	16	500	3.0	87900	2.5
14	3097	asus	8	1000	2.3	51900	2.5
15	3141	asus	8	1000	3.2	74900	2.5
16	3186	asus	4	2000	1.8	46900	2.5
17	3399	Apple	8	500	2.5	116900	2.5
18	3720	Lenovo	16	500	2.5	45900	2.5
19	3726	Asus	8	500	1.8	42900	2.5
20	3904	DELL	4	1000	2.3	58900	2.5
21	4091	Microsoft	4	2000	2.3	57900	2.5
22	4159	Dell	4	500	3.2	86900	2.5
23	4318	Microsoft	8	500	2.3	44900	2.5
24	4591	Dell	4	1000	1.8	51900	2.5
25	4591	Dell	4	1000	1.8	51900	2.5
26	4826	Asus	16	2000	2.5	71900	2.5
27	4873	Microsoft	8	2000	2.3	56900	2.5
28	4945	Lenovo	8	500	2.3	30900	2.5
29	5789	Apple	4	2000	1.8	111900	2.5
30	5807	Dell	4	500	1.8	47900	2.5
31	5900	Toshiba	8	500	3.0	67900	2.5
32	5914	hp	8	2000	3.2	90900	2.5
33	6051	Apple	8	1000	2.3	115900	2.5
34	6649	Acer	16	2000	2.5	62900	2.5
35	6762	MSI	8	500	2.5	52900	2.5
36	7398	Lenovo	4	2000	2.5	43900	2.5
37	7420	Asus	16	2000	1.8	47900	2.5
38	7492	DELL	8	1000	2.3	68900	2.5
39	7639	DELL	8	1000	3.0	92900	2.5
40	7737	Dell	8	1000	2.5	72900	2.5
41	7865	MSI	16	2000	3.0	79900	2.5
42	7956	Asus	16	1000	3.0	74900	2.5
43	8169	hp	4	2000	1.8	36900	2.5
44	8193	MSI	8	1000	3.2	81900	2.5
45	8250	Lenovo	16	2000	3.2	70900	2.5
46	8274	hp	4	2000	3.2	76900	2.5
47	8464	HP	16	2000	3.2	85900	2.5
48	8479	MSI	16	500	2.3	49900	2.5
49	8784	DELL	16	1000	3.0	78900	2.5
50	8789	Asus	16	2000	1.8	51900	2.5
51	8983	Apple	4	500	3.2	123900	2.5
52	9358	asus	16	500	2.5	56900	2.5
53	9540	MSI	16	500	2.3	53900	2.5
54	9703	asus	8	2000	3.0	71900	2.5
55	9859	HP	4	1000	2.3	38900	2.5
56	10146	Apple	16	2000	2.5	132900	2.5
57	10470	DELL	4	1000	2.3	68900	2.5
58	10545	Acer	8	1000	2.3	50900	2.5
59	10725	Apple	4	1000	3.2	135900	2.5
60	10895	Lenovo	16	2000	1.8	41900	2.5
61	11008	Lenovo	8	1000	2.5	41900	2.5
62	11238	Samsung	4	2000	2.3	51900	2.5
63	11272	DELL	16	2000	1.8	61900	2.5
64	11412	Asus	16	1000	3.0	73900	2.5
65	11528	Lenovo	4	500	2.3	25900	2.5
66	11685	Apple	4	500	3.0	132900	2.5
67	11757	Acer	8	2000	3.2	91900	2.5
68	11787	Lenovo	16	2000	2.3	45900	2.5
69	11812	Toshiba	8	2000	2.5	63900	2.5
70	11967	Microsoft	16	1000	1.8	49900	2.5
71	12145	Dell	16	500	2.3	67900	2.5
72	12218	Lenovo	8	1000	2.5	46900	2.5
73	12322	hp	16	500	1.8	48900	2.5
74	12556	DELL	8	1000	3.0	80900	2.5
75	12954	HP	8	2000	3.0	77900	2.5
76	12979	HP	16	500	2.3	56900	2.5
77	13435	HP	4	1000	1.8	40900	2.5
78	13794	Lenovo	16	500	3.0	50900	2.5
79	14526	Acer	16	500	3.2	79900	2.5
80	14593	Dell	8	500	2.3	59900	2.5
81	14625	hp	16	500	1.8	49900	2.5
82	14884	Lenovo	4	2000	1.8	25900	2.5
83	15171	Dell	4	2000	3.2	88900	2.5
84	15344	hp	16	500	2.3	54900	2.5
85	15431	Asus	16	2000	2.3	62900	2.5
86	15470	MSI	16	1000	1.8	51900	2.5
87	15479	Asus	8	1000	3.0	67900	2.5
88	15604	Acer	8	1000	1.8	50900	2.5
89	16051	HP	8	2000	1.8	55900	2.5
90	16101	Asus	8	2000	1.8	51900	2.5
91	16280	Dell	8	500	3.2	88900	2.5
92	16478	Toshiba	16	500	3.2	82900	2.5
93	16689	Acer	4	2000	3.0	72900	2.5
94	16779	asus	16	2000	1.8	50900	2.5
95	16912	Toshiba	4	2000	2.3	52900	2.5
96	16943	Toshiba	4	2000	3.0	65900	2.5
97	17004	Microsoft	8	500	2.3	38900	2.5
98	17060	MSI	16	1000	2.3	57900	2.5
99	17162	hp	8	2000	2.3	57900	2.5
100	17504	HP	16	2000	3.2	90900	2.5
101	17648	Dell	4	500	3.0	67900	2.5
102	17770	MSI	4	500	2.3	43900	2.5
103	18321	Apple	8	500	3.2	140900	2.5
104	18413	HP	8	2000	2.5	66900	2.5
105	18580	Microsoft	8	2000	1.8	50900	2.5
106	18593	hp	4	500	3.0	64900	2.5
107	18714	Apple	4	2000	2.5	120900	2.5
108	18751	Toshiba	8	1000	3.0	68900	2.5
109	18799	DELL	16	2000	3.0	99900	2.5
110	19179	Lenovo	8	1000	2.3	39900	2.5
111	19263	Dell	16	2000	3.0	92900	2.5
112	19289	asus	16	1000	3.0	77900	2.5
113	19302	Microsoft	16	1000	2.5	65900	2.5
114	19506	DELL	8	500	1.8	43900	2.5
115	19791	Dell	16	2000	2.3	68900	2.5
116	19843	Lenovo	8	500	2.3	28900	2.5
117	19912	Samsung	4	1000	2.5	52900	2.5
118	20198	Dell	4	2000	2.5	72900	2.5
119	20472	Toshiba	16	1000	3.0	75900	2.5
120	20559	Dell	4	500	1.8	48900	2.5
121	20874	Acer	4	2000	3.2	78900	2.5
122	21171	Asus	4	1000	1.8	33900	2.5
123	21382	DELL	16	500	2.5	82900	2.5
124	21708	MSI	4	500	3.2	70900	2.5
125	21804	hp	4	2000	2.3	45900	2.5
126	21809	Toshiba	16	1000	2.3	65900	2.5
127	21821	hp	16	2000	1.8	53900	2.5
128	21840	Microsoft	16	500	2.3	56900	2.5
129	22115	MSI	16	2000	2.5	68900	2.5
130	22300	Microsoft	8	2000	3.0	75900	2.5
131	22303	HP	4	2000	1.8	43900	2.5
132	22308	hp	16	2000	2.5	72900	2.5
133	22682	Lenovo	4	2000	1.8	22900	2.5
134	22721	Acer	16	2000	2.5	73900	2.5
135	22726	Dell	8	1000	1.8	59900	2.5
136	22883	HP	4	2000	3.0	62900	2.5
137	22947	Apple	16	500	2.5	132900	2.5
138	23352	Toshiba	16	2000	3.2	86900	2.5
139	23382	Toshiba	16	1000	2.3	55900	2.5
140	23621	Asus	16	2000	2.3	69900	2.5
141	23669	MSI	4	500	2.3	47900	2.5
142	23724	Dell	4	500	1.8	49900	2.5
143	23899	Dell	4	1000	2.3	57900	2.5
144	23960	MSI	16	2000	3.0	82900	2.5
145	24027	DELL	16	2000	3.2	104900	2.5
146	24250	HP	16	1000	2.5	57900	2.5
147	24392	hp	8	2000	1.8	50900	2.5
148	24498	MSI	16	2000	2.3	67900	2.5
149	24620	Lenovo	4	500	1.8	14900	2.5
150	24753	Samsung	8	500	3.0	62900	2.5
151	24804	Apple	4	2000	2.3	109900	2.5
152	24960	Samsung	4	2000	3.2	85900	2.5
153	25086	Samsung	4	500	3.2	65900	2.5
154	25155	Lenovo	4	2000	2.3	32900	2.5
155	25287	Toshiba	4	500	3.2	66900	2.5
156	25305	MSI	8	500	1.8	45900	2.5
157	25474	HP	16	500	1.8	41900	2.5
158	25710	MSI	8	500	1.8	40900	2.5
159	25797	MSI	4	500	3.2	75900	2.5
160	26001	DELL	16	500	3.2	92900	2.5
161	26213	Samsung	4	500	3.0	66900	2.5
162	26807	Apple	16	2000	2.5	137900	2.5
163	26987	Toshiba	4	2000	2.3	48900	2.5
164	27058	Toshiba	4	500	2.5	55900	2.5
165	27389	asus	8	2000	1.8	43900	2.5
166	27534	HP	16	500	2.3	57900	2.5
167	27691	HP	8	500	1.8	42900	2.5
168	28054	MSI	16	2000	2.3	59900	2.5
169	28220	Apple	16	1000	2.3	116900	2.5
170	28397	hp	16	2000	3.2	90900	2.5
171	28401	unknown	8	1000	3.0	61900	2.5
172	28514	Asus	4	1000	3.2	67900	2.5
173	28532	Toshiba	16	1000	3.0	78900	2.5
174	28663	Acer	4	2000	1.8	47900	2.5
175	28780	Toshiba	8	1000	2.5	53900	2.5
176	28798	Acer	4	2000	1.8	44900	2.5
177	28816	HP	4	2000	2.5	67900	2.5
178	28904	Lenovo	16	2000	2.5	56900	2.5
179	28932	asus	16	2000	2.3	60900	2.5
180	29062	Microsoft	16	1000	1.8	49900	2.5
181	29349	Microsoft	8	500	2.3	39900	2.5
182	29351	Asus	4	500	2.3	41900	2.5
183	29410	Lenovo	16	2000	3.2	78900	2.5
184	29426	asus	4	1000	2.3	48900	2.5
185	29441	Toshiba	4	500	3.0	57900	2.5
186	29445	Apple	8	2000	2.5	123900	2.5
187	29505	MSI	16	500	3.2	86900	2.5
188	29558	MSI	8	500	2.3	52900	2.5
189	29856	Toshiba	4	1000	2.3	45900	2.5
190	29895	HP	4	1000	1.8	31900	2.5
191	30045	Dell	16	2000	2.5	91900	2.5
192	30139	Samsung	8	2000	1.8	42900	2.5
193	30341	Dell	8	1000	2.5	73900	2.5
194	30772	Dell	4	1000	2.3	63900	2.5
195	30856	Apple	16	500	2.3	115900	2.5
196	31028	hp	8	500	3.0	67900	2.5
197	31097	asus	16	1000	3.2	85900	2.5
198	31186	Toshiba	8	500	2.3	45900	2.5
199	31308	HP	8	1000	3.0	72900	2.5
200	31619	HP	16	2000	1.8	58900	2.5
201	31654	hp	8	2000	2.3	60900	2.5
202	31768	MSI	4	500	2.5	50900	2.5
203	31783	DELL	16	2000	3.0	95900	2.5
204	32084	Dell	16	1000	3.0	88900	2.5
205	32318	asus	4	2000	3.2	72900	2.5
206	32438	hp	4	2000	1.8	38900	2.5
207	32546	Dell	8	1000	1.8	62900	2.5
208	32908	hp	4	1000	2.3	46900	2.5
209	33044	MSI	16	500	3.2	83900	2.5
210	33111	Apple	16	1000	3.0	141900	2.5
211	33155	Asus	4	500	1.8	34900	2.5
212	33316	Acer	16	1000	1.8	52900	2.5
213	33365	Toshiba	16	2000	2.5	65900	2.5
214	33493	Acer	4	1000	1.8	37900	2.5
215	33503	hp	4	2000	3.0	65900	2.5
216	33505	Asus	16	500	2.3	58900	2.5
217	33915	Microsoft	4	1000	3.0	57900	2.5
218	34038	Lenovo	16	500	3.0	60900	2.5
219	34092	hp	4	1000	1.8	43900	2.5
220	34234	asus	8	1000	3.2	81900	2.5
221	34301	MSI	4	500	1.8	35900	2.5
222	34320	Lenovo	4	2000	1.8	24900	2.5
223	34385	Apple	8	1000	2.3	114900	2.5
224	34444	Acer	4	1000	3.0	62900	2.5
225	34698	Samsung	16	2000	3.2	87900	2.5
