	productid	brand	RAM_GB	HDD_GB	GHz	price	rank
0	394	Samsung	16	1000	3.2	90900	59.0
1	828	Lenovo	8	2000	2.5	51900	38.0
2	995	Acer	4	1000	2.3	44900	18.0
3	1009	HP	4	500	2.3	42900	11.0
4	1093	Acer	8	2000	2.3	58900	32.0
5	1230	MSI	16	500	3.0	63900	33.0
6	1247	Acer	8	500	2.5	57900	31.0
7	1894	HP	4	2000	1.8	42900	11.0
8	1999	DELL	8	500	2.3	71900	31.0
9	2370	Toshiba	16	2000	2.5	68900	41.0
10	2616	asus	16	500	1.8	40900	10.0
11	2642	Lenovo	16	500	3.2	62900	49.0
12	2742	Samsung	4	2000	3.0	67900	37.0
13	2829	Dell	16	500	3.0	87900	43.0
14	3097	asus	8	1000	2.3	51900	21.0
15	3141	asus	8	1000	3.2	74900	44.0
16	3186	asus	4	2000	1.8	46900	16.0
17	3399	Apple	8	500	2.5	116900	22.0
18	3720	Lenovo	16	500	2.5	45900	32.0
19	3726	Asus	8	500	1.8	42900	15.0
20	3904	DELL	4	1000	2.3	58900	18.0
21	4091	Microsoft	4	2000	2.3	57900	27.0
22	4159	Dell	4	500	3.2	86900	42.0
23	4318	Microsoft	8	500	2.3	44900	14.0
24	4591	Dell	4	1000	1.8	51900	7.0
25	4591	Dell	4	1000	1.8	51900	7.0
26	4826	Asus	16	2000	2.5	71900	44.0
27	4873	Microsoft	8	2000	2.3	56900	26.0
28	4945	Lenovo	8	500	2.3	30900	17.0
29	5789	Apple	4	2000	1.8	111900	17.0
30	5807	Dell	4	500	1.8	47900	3.0
31	5900	Toshiba	8	500	3.0	67900	40.0
32	5914	hp	8	2000	3.2	90900	62.0
33	6051	Apple	8	1000	2.3	115900	21.0
34	6649	Acer	16	2000	2.5	62900	36.0
35	6762	MSI	8	500	2.5	52900	22.0
36	7398	Lenovo	4	2000	2.5	43900	30.0
37	7420	Asus	16	2000	1.8	47900	20.0
38	7492	DELL	8	1000	2.3	68900	28.0
39	7639	DELL	8	1000	3.0	92900	52.0
40	7737	Dell	8	1000	2.5	72900	28.0
41	7865	MSI	16	2000	3.0	79900	49.0
42	7956	Asus	16	1000	3.0	74900	47.0
43	8169	hp	4	2000	1.8	36900	8.0
44	8193	MSI	8	1000	3.2	81900	51.0
45	8250	Lenovo	16	2000	3.2	70900	57.0
46	8274	hp	4	2000	3.2	76900	48.0
47	8464	HP	16	2000	3.2	85900	54.0
48	8479	MSI	16	500	2.3	49900	19.0
49	8784	DELL	16	1000	3.0	78900	38.0
50	8789	Asus	16	2000	1.8	51900	24.0
51	8983	Apple	4	500	3.2	123900	29.0
52	9358	asus	16	500	2.5	56900	26.0
53	9540	MSI	16	500	2.3	53900	23.0
54	9703	asus	8	2000	3.0	71900	41.0
55	9859	HP	4	1000	2.3	38900	7.0
56	10146	Apple	16	2000	2.5	132900	38.0
57	10470	DELL	4	1000	2.3	68900	28.0
58	10545	Acer	8	1000	2.3	50900	24.0
59	10725	Apple	4	1000	3.2	135900	41.0
60	10895	Lenovo	16	2000	1.8	41900	28.0
61	11008	Lenovo	8	1000	2.5	41900	28.0
62	11238	Samsung	4	2000	2.3	51900	21.0
63	11272	DELL	16	2000	1.8	61900	21.0
64	11412	Asus	16	1000	3.0	73900	46.0
65	11528	Lenovo	4	500	2.3	25900	12.0
66	11685	Apple	4	500	3.0	132900	38.0
67	11757	Acer	8	2000	3.2	91900	64.0
68	11787	Lenovo	16	2000	2.3	45900	32.0
69	11812	Toshiba	8	2000	2.5	63900	36.0
70	11967	Microsoft	16	1000	1.8	49900	19.0
71	12145	Dell	16	500	2.3	67900	23.0
72	12218	Lenovo	8	1000	2.5	46900	33.0
73	12322	hp	16	500	1.8	48900	20.0
74	12556	DELL	8	1000	3.0	80900	40.0
75	12954	HP	8	2000	3.0	77900	46.0
76	12979	HP	16	500	2.3	56900	25.0
77	13435	HP	4	1000	1.8	40900	9.0
78	13794	Lenovo	16	500	3.0	50900	37.0
79	14526	Acer	16	500	3.2	79900	53.0
80	14593	Dell	8	500	2.3	59900	15.0
81	14625	hp	16	500	1.8	49900	21.0
82	14884	Lenovo	4	2000	1.8	25900	12.0
83	15171	Dell	4	2000	3.2	88900	44.0
84	15344	hp	16	500	2.3	54900	26.0
85	15431	Asus	16	2000	2.3	62900	35.0
86	15470	MSI	16	1000	1.8	51900	21.0
87	15479	Asus	8	1000	3.0	67900	40.0
88	15604	Acer	8	1000	1.8	50900	24.0
89	16051	HP	8	2000	1.8	55900	24.0
90	16101	Asus	8	2000	1.8	51900	24.0
91	16280	Dell	8	500	3.2	88900	44.0
92	16478	Toshiba	16	500	3.2	82900	55.0
93	16689	Acer	4	2000	3.0	72900	46.0
94	16779	asus	16	2000	1.8	50900	20.0
95	16912	Toshiba	4	2000	2.3	52900	25.0
96	16943	Toshiba	4	2000	3.0	65900	38.0
97	17004	Microsoft	8	500	2.3	38900	8.0
98	17060	MSI	16	1000	2.3	57900	27.0
99	17162	hp	8	2000	2.3	57900	29.0
100	17504	HP	16	2000	3.2	90900	59.0
101	17648	Dell	4	500	3.0	67900	23.0
102	17770	MSI	4	500	2.3	43900	13.0
103	18321	Apple	8	500	3.2	140900	46.0
104	18413	HP	8	2000	2.5	66900	35.0
105	18580	Microsoft	8	2000	1.8	50900	20.0
106	18593	hp	4	500	3.0	64900	36.0
107	18714	Apple	4	2000	2.5	120900	26.0
108	18751	Toshiba	8	1000	3.0	68900	41.0
109	18799	DELL	16	2000	3.0	99900	59.0
110	19179	Lenovo	8	1000	2.3	39900	26.0
111	19263	Dell	16	2000	3.0	92900	48.0
112	19289	asus	16	1000	3.0	77900	47.0
113	19302	Microsoft	16	1000	2.5	65900	35.0
114	19506	DELL	8	500	1.8	43900	3.0
115	19791	Dell	16	2000	2.3	68900	24.0
116	19843	Lenovo	8	500	2.3	28900	15.0
117	19912	Samsung	4	1000	2.5	52900	22.0
118	20198	Dell	4	2000	2.5	72900	28.0
119	20472	Toshiba	16	1000	3.0	75900	48.0
120	20559	Dell	4	500	1.8	48900	4.0
121	20874	Acer	4	2000	3.2	78900	52.0
122	21171	Asus	4	1000	1.8	33900	7.0
123	21382	DELL	16	500	2.5	82900	42.0
124	21708	MSI	4	500	3.2	70900	40.0
125	21804	hp	4	2000	2.3	45900	17.0
126	21809	Toshiba	16	1000	2.3	65900	38.0
127	21821	hp	16	2000	1.8	53900	25.0
128	21840	Microsoft	16	500	2.3	56900	26.0
129	22115	MSI	16	2000	2.5	68900	38.0
130	22300	Microsoft	8	2000	3.0	75900	45.0
131	22303	HP	4	2000	1.8	43900	12.0
132	22308	hp	16	2000	2.5	72900	44.0
133	22682	Lenovo	4	2000	1.8	22900	9.0
134	22721	Acer	16	2000	2.5	73900	47.0
135	22726	Dell	8	1000	1.8	59900	15.0
136	22883	HP	4	2000	3.0	62900	31.0
137	22947	Apple	16	500	2.5	132900	38.0
138	23352	Toshiba	16	2000	3.2	86900	59.0
139	23382	Toshiba	16	1000	2.3	55900	28.0
140	23621	Asus	16	2000	2.3	69900	42.0
141	23669	MSI	4	500	2.3	47900	17.0
142	23724	Dell	4	500	1.8	49900	5.0
143	23899	Dell	4	1000	2.3	57900	13.0
144	23960	MSI	16	2000	3.0	82900	52.0
145	24027	DELL	16	2000	3.2	104900	64.0
146	24250	HP	16	1000	2.5	57900	26.0
147	24392	hp	8	2000	1.8	50900	22.0
148	24498	MSI	16	2000	2.3	67900	37.0
149	24620	Lenovo	4	500	1.8	14900	1.0
150	24753	Samsung	8	500	3.0	62900	32.0
151	24804	Apple	4	2000	2.3	109900	15.0
152	24960	Samsung	4	2000	3.2	85900	55.0
153	25086	Samsung	4	500	3.2	65900	35.0
154	25155	Lenovo	4	2000	2.3	32900	19.0
155	25287	Toshiba	4	500	3.2	66900	39.0
156	25305	MSI	8	500	1.8	45900	15.0
157	25474	HP	16	500	1.8	41900	10.0
158	25710	MSI	8	500	1.8	40900	10.0
159	25797	MSI	4	500	3.2	75900	45.0
160	26001	DELL	16	500	3.2	92900	52.0
161	26213	Samsung	4	500	3.0	66900	36.0
162	26807	Apple	16	2000	2.5	137900	43.0
163	26987	Toshiba	4	2000	2.3	48900	21.0
164	27058	Toshiba	4	500	2.5	55900	28.0
165	27389	asus	8	2000	1.8	43900	13.0
166	27534	HP	16	500	2.3	57900	26.0
167	27691	HP	8	500	1.8	42900	11.0
168	28054	MSI	16	2000	2.3	59900	29.0
169	28220	Apple	16	1000	2.3	116900	22.0
170	28397	hp	16	2000	3.2	90900	62.0
171	28401	unknown	8	1000	3.0	61900	18.0
172	28514	Asus	4	1000	3.2	67900	40.0
173	28532	Toshiba	16	1000	3.0	78900	51.0
174	28663	Acer	4	2000	1.8	47900	21.0
175	28780	Toshiba	8	1000	2.5	53900	26.0
176	28798	Acer	4	2000	1.8	44900	18.0
177	28816	HP	4	2000	2.5	67900	36.0
178	28904	Lenovo	16	2000	2.5	56900	43.0
179	28932	asus	16	2000	2.3	60900	30.0
180	29062	Microsoft	16	1000	1.8	49900	19.0
181	29349	Microsoft	8	500	2.3	39900	9.0
182	29351	Asus	4	500	2.3	41900	14.0
183	29410	Lenovo	16	2000	3.2	78900	64.0
184	29426	asus	4	1000	2.3	48900	18.0
185	29441	Toshiba	4	500	3.0	57900	30.0
186	29445	Apple	8	2000	2.5	123900	29.0
187	29505	MSI	16	500	3.2	86900	56.0
188	29558	MSI	8	500	2.3	52900	22.0
189	29856	Toshiba	4	1000	2.3	45900	18.0
190	29895	HP	4	1000	1.8	31900	2.0
191	30045	Dell	16	2000	2.5	91900	47.0
192	30139	Samsung	8	2000	1.8	42900	12.0
193	30341	Dell	8	1000	2.5	73900	29.0
194	30772	Dell	4	1000	2.3	63900	19.0
195	30856	Apple	16	500	2.3	115900	21.0
196	31028	hp	8	500	3.0	67900	39.0
197	31097	asus	16	1000	3.2	85900	55.0
198	31186	Toshiba	8	500	2.3	45900	18.0
199	31308	HP	8	1000	3.0	72900	41.0
200	31619	HP	16	2000	1.8	58900	27.0
201	31654	hp	8	2000	2.3	60900	32.0
202	31768	MSI	4	500	2.5	50900	20.0
203	31783	DELL	16	2000	3.0	95900	55.0
204	32084	Dell	16	1000	3.0	88900	44.0
205	32318	asus	4	2000	3.2	72900	42.0
206	32438	hp	4	2000	1.8	38900	10.0
207	32546	Dell	8	1000	1.8	62900	18.0
208	32908	hp	4	1000	2.3	46900	18.0
209	33044	MSI	16	500	3.2	83900	53.0
210	33111	Apple	16	1000	3.0	141900	47.0
211	33155	Asus	4	500	1.8	34900	8.0
212	33316	Acer	16	1000	1.8	52900	26.0
213	33365	Toshiba	16	2000	2.5	65900	38.0
214	33493	Acer	4	1000	1.8	37900	11.0
215	33503	hp	4	2000	3.0	65900	37.0
216	33505	Asus	16	500	2.3	58900	31.0
217	33915	Microsoft	4	1000	3.0	57900	27.0
218	34038	Lenovo	16	500	3.0	60900	47.0
219	34092	hp	4	1000	1.8	43900	15.0
220	34234	asus	8	1000	3.2	81900	51.0
221	34301	MSI	4	500	1.8	35900	5.0
222	34320	Lenovo	4	2000	1.8	24900	11.0
223	34385	Apple	8	1000	2.3	114900	20.0
224	34444	Acer	4	1000	3.0	62900	36.0
225	34698	Samsung	16	2000	3.2	87900	57.0
226	34805	Dell	8	1000	2.3	60900	16.0
227	34902	asus	4	2000	2.3	55900	25.0
228	35157	hp	16	1000	3.0	78900	50.0
229	35187	asus	8	500	2.3	50900	20.0
230	35199	DELL	8	1000	2.3	71900	31.0
231	35199	DELL	8	1000	2.3	71900	31.0
232	35249	hp	4	2000	1.8	41900	13.0
233	35313	Lenovo	4	2000	2.3	40900	27.0
234	35402	Lenovo	16	500	3.0	59900	46.0
235	35483	asus	16	2000	3.0	74900	44.0
236	35605	Dell	4	1000	2.3	60900	16.0
237	35740	Dell	16	2000	1.8	65900	21.0
238	35764	Dell	16	2000	1.8	67900	23.0
239	36042	Asus	4	2000	3.2	75900	48.0
240	36443	Apple	8	500	2.5	112900	18.0
241	36698	Lenovo	4	2000	2.5	48900	35.0
242	36704	asus	16	1000	2.3	49900	19.0
243	36709	Acer	16	1000	3.2	83900	57.0
244	37069	Microsoft	16	2000	3.2	95900	63.0
245	37097	DELL	4	2000	3.2	83900	43.0
246	37836	Samsung	4	500	3.2	64900	34.0
247	37893	Dell	16	500	1.8	58900	14.0
248	37893	Dell	16	500	1.8	58900	14.0
249	38087	Lenovo	16	2000	3.0	65900	52.0
250	38188	Asus	16	1000	2.3	57900	30.0
251	38351	HP	16	500	1.8	39900	8.0
252	38693	Lenovo	8	1000	2.3	37900	24.0
253	38703	Lenovo	8	2000	3.0	58900	45.0
254	38728	Samsung	8	1000	3.0	70900	40.0
255	38773	HP	4	2000	3.0	61900	30.0
256	38861	hp	16	500	2.3	59900	31.0
257	39224	Dell	8	1000	1.8	61900	17.0
258	39229	Asus	8	2000	1.8	48900	21.0
259	39421	hp	16	2000	1.8	53900	25.0
260	39448	MSI	4	500	2.3	40900	10.0
261	39482	Microsoft	16	2000	3.2	84900	54.0
262	39597	Dell	4	500	2.3	55900	11.0
263	39629	Apple	16	1000	2.5	132900	38.0
264	39919	DELL	4	2000	2.3	59900	19.0
265	40118	Microsoft	8	500	1.8	47900	17.0
266	40248	Microsoft	16	2000	2.5	73900	43.0
267	40412	HP	4	1000	2.3	50900	19.0
268	40450	MSI	16	1000	3.2	82900	52.0
269	40973	Apple	4	500	2.3	104900	10.0
270	41469	Asus	8	500	3.2	80900	53.0
271	41490	DELL	16	500	3.2	96900	56.0
272	41640	DELL	8	1000	2.5	70900	30.0
273	41776	DELL	8	500	3.2	87900	47.0
274	41916	Dell	4	500	1.8	47900	3.0
275	42158	HP	4	500	3.2	72900	41.0
276	42257	HP	16	2000	1.8	51900	20.0
277	42308	HP	16	500	3.0	77900	46.0
278	42461	Dell	8	500	1.8	58900	14.0
279	42575	HP	8	1000	1.8	41900	10.0
280	42801	Lenovo	16	2000	3.0	66900	53.0
281	42825	HP	16	1000	3.2	83900	52.0
282	42837	HP	8	1000	3.2	78900	47.0
283	42900	MSI	16	1000	2.3	51900	21.0
284	43418	Apple	4	2000	3.0	135900	41.0
285	43534	Toshiba	16	1000	3.0	70900	43.0
286	43595	DELL	8	500	2.5	69900	29.0
287	43827	DELL	8	1000	1.8	57900	17.0
288	43948	Toshiba	8	1000	3.2	84900	57.0
289	44197	MSI	4	500	2.3	39900	9.0
290	44203	Microsoft	16	1000	2.3	60900	30.0
291	44369	MSI	4	500	1.8	29900	1.0
292	44534	asus	8	2000	1.8	44900	14.0
293	44547	HP	4	1000	3.2	73900	42.0
294	44648	unknown	16	2000	3.0	82900	33.0
295	45025	Samsung	8	500	3.0	66900	36.0
296	45026	asus	16	1000	3.2	79900	49.0
297	45334	Toshiba	8	2000	3.2	83900	56.0
298	45485	Lenovo	4	1000	3.2	54900	41.0
299	45641	Apple	8	1000	3.2	142900	48.0
300	45998	Samsung	8	2000	1.8	46900	16.0
301	46072	asus	16	2000	2.5	63900	33.0
302	46074	Asus	4	1000	3.0	67900	40.0
303	46186	HP	4	500	2.3	42900	11.0
304	46372	HP	8	1000	3.0	68900	37.0
305	46632	Acer	8	2000	1.8	48900	22.0
306	46640	Microsoft	8	1000	3.0	64900	34.0
307	46682	Dell	16	2000	2.5	86900	42.0
308	46714	Microsoft	4	2000	3.2	75900	45.0
309	47129	Apple	16	2000	2.3	130900	36.0
310	47311	Dell	16	500	2.5	78900	34.0
311	47766	Dell	4	2000	2.3	71900	27.0
312	48246	DELL	8	1000	1.8	57900	17.0
313	48287	MSI	4	500	2.3	43900	13.0
314	48379	HP	16	500	3.0	78900	47.0
315	48414	HP	4	1000	2.3	41900	10.0
316	48428	hp	4	500	3.2	66900	38.0
317	48776	HP	16	500	1.8	37900	6.0
318	49165	Dell	8	500	3.2	93900	49.0
319	49209	Apple	16	500	2.5	125900	31.0
320	49290	asus	16	1000	1.8	45900	15.0
321	49726	hp	4	1000	3.0	61900	33.0
322	49814	hp	8	1000	1.8	46900	18.0
323	50026	hp	16	2000	1.8	59900	31.0
324	50182	asus	8	500	1.8	40900	10.0
325	50276	HP	16	2000	3.0	82900	51.0
326	50292	Acer	8	2000	3.2	85900	59.0
327	50318	Lenovo	16	500	1.8	37900	24.0
328	50423	Dell	16	500	2.3	69900	25.0
329	50593	asus	8	500	1.8	39900	9.0
330	50672	MSI	16	1000	3.0	77900	47.0
331	50854	Dell	8	2000	2.3	64900	20.0
332	50909	Apple	16	2000	3.0	153900	59.0
333	51062	DELL	16	1000	1.8	66900	26.0
334	51081	hp	16	500	2.5	57900	29.0
335	51122	Toshiba	16	500	1.8	45900	18.0
336	51131	HP	8	2000	2.3	55900	24.0
337	51205	Dell	16	1000	2.3	76900	32.0
338	51332	Apple	16	500	3.2	144900	50.0
339	51569	MSI	16	2000	1.8	58900	28.0
340	51714	Acer	8	500	2.3	51900	25.0
341	51843	Acer	16	500	2.5	56900	30.0
342	51929	MSI	4	2000	3.2	78900	48.0
343	51955	Lenovo	4	2000	2.3	35900	22.0
344	51989	asus	4	1000	2.5	57900	27.0
345	52315	DELL	4	1000	2.3	57900	17.0
346	52417	MSI	16	2000	2.5	67900	37.0
347	52471	hp	8	2000	3.2	79900	51.0
348	52564	Dell	16	2000	3.2	101900	57.0
349	52580	Lenovo	8	1000	3.2	65900	52.0
350	52628	Asus	8	500	1.8	41900	14.0
351	52749	Asus	16	1000	2.5	62900	35.0
352	52878	DELL	16	1000	3.2	102900	62.0
353	52925	Apple	16	2000	2.5	130900	36.0
354	53215	MSI	4	1000	2.5	59900	29.0
355	53224	Dell	8	500	3.0	90900	46.0
356	53807	Dell	4	500	1.8	49900	5.0
357	53836	asus	8	2000	3.0	72900	42.0
358	53972	MSI	16	2000	2.3	64900	34.0
359	54459	DELL	16	500	3.0	87900	47.0
360	54972	HP	16	500	2.3	60900	29.0
361	55149	Apple	16	500	1.8	110900	16.0
362	55199	Lenovo	8	2000	3.0	57900	44.0
363	55397	MSI	16	2000	2.5	75900	45.0
364	55413	asus	16	2000	1.8	52900	22.0
365	55483	Microsoft	8	2000	1.8	46900	16.0
366	55539	Lenovo	16	500	3.2	71900	58.0
367	55586	Toshiba	4	2000	2.3	61900	34.0
368	55710	HP	8	1000	1.8	40900	9.0
369	55749	DELL	16	1000	2.5	78900	38.0
370	55898	Dell	8	500	1.8	48900	4.0
371	56121	Toshiba	16	2000	2.3	63900	36.0
372	56291	Apple	16	2000	2.5	133900	39.0
373	56481	Toshiba	16	2000	3.2	95900	64.0
374	56495	Apple	8	500	3.2	140900	46.0
375	56520	Toshiba	16	500	3.0	70900	43.0
376	56608	Dell	8	2000	2.5	76900	32.0
377	56623	MSI	4	500	1.8	29900	1.0
378	56934	Microsoft	16	2000	1.8	49900	19.0
379	57258	MSI	8	500	3.0	64900	34.0
380	57570	Dell	4	500	3.2	82900	38.0
381	57898	Acer	4	500	2.5	48900	22.0
382	58067	Microsoft	4	1000	2.3	42900	12.0
383	58121	Lenovo	8	2000	2.3	36900	23.0
384	58256	MSI	16	1000	2.3	49900	19.0
385	58368	Microsoft	4	500	3.2	68900	38.0
386	58651	Lenovo	16	1000	3.2	67900	54.0
387	58704	hp	4	2000	2.3	53900	25.0
388	58715	asus	16	1000	3.2	79900	49.0
389	58722	Asus	16	500	3.0	66900	39.0
390	58758	Microsoft	4	500	3.0	59900	29.0
391	58776	DELL	4	500	3.2	84900	44.0
392	59297	Acer	8	500	3.0	67900	41.0
393	59469	hp	16	500	3.0	67900	39.0
394	60083	asus	16	2000	1.8	60900	30.0
395	60127	asus	4	2000	3.2	77900	47.0
396	60236	HP	16	1000	3.2	92900	60.0
397	60299	Asus	4	1000	3.2	75900	48.0
398	60489	Microsoft	8	1000	3.2	79900	49.0
399	60529	Dell	4	500	2.5	67900	23.0
400	61103	HP	16	500	2.5	52900	21.0
401	61272	asus	16	500	3.2	79900	49.0
402	61304	Dell	4	1000	2.5	69900	25.0
403	61617	asus	16	2000	3.0	78900	48.0
404	61618	DELL	16	500	3.2	103900	63.0
405	61625	hp	4	500	2.3	43900	15.0
406	61722	Acer	16	2000	1.8	57900	31.0
407	61778	asus	4	1000	2.5	60900	30.0
408	61993	MSI	8	2000	2.3	55900	25.0
409	62054	Lenovo	8	500	2.3	31900	18.0
410	62122	asus	8	2000	3.0	75900	45.0
411	62159	DELL	8	2000	1.8	69900	29.0
412	62512	Apple	8	1000	2.3	115900	21.0
413	62562	Microsoft	8	2000	3.0	74900	44.0
414	62599	Apple	4	1000	3.2	142900	48.0
415	62612	DELL	8	2000	2.5	78900	38.0
416	62910	Asus	4	2000	2.3	50900	23.0
417	63033	Acer	16	2000	2.3	69900	43.0
418	63146	DELL	16	500	1.8	58900	18.0
419	63217	HP	8	500	1.8	50900	19.0
420	63294	HP	4	500	1.8	37900	6.0
421	63561	asus	16	2000	3.2	90900	60.0
422	64027	Dell	8	1000	2.3	67900	23.0
423	64139	Lenovo	8	2000	1.8	39900	26.0
424	64322	Samsung	4	1000	3.0	59900	29.0
